,City,Lat,Lng,Max Temp (F),Humidity(%),Cloudiness(%),Wind Speed(MPH),Country,Data
357,Benghazi,32.1167,20.0667,64.6,62,100,20.27,LY,1610464982
358,Springbok,-29.6643,17.8865,84.34,29,0,13.65,ZA,1610465093
359,Mil'kovo,54.7167,158.6167,1.96,88,49,4.83,RU,1610465094
360,Coquimbo,-29.9533,-71.3436,64.4,68,0,17.27,CL,1610465054
361,Tuatapere,-46.1333,167.6833,55.99,86,54,1.01,NZ,1610465094
362,Clarence Town,-32.5833,151.7833,70.0,88,37,1.21,AU,1610465094
363,Guajará,-2.9667,-57.6667,81.93,86,44,3.47,BR,1610465094
364,Iqaluit,63.7506,-68.5145,1.4,78,90,9.22,CA,1610465094
365,Mossamedes,-15.1961,12.1522,77.38,61,50,13.85,AO,1610465095
366,Hamilton,39.1834,-84.5333,27.0,80,90,10.36,US,1610464853
367,Brae,60.3964,-1.353,39.2,75,40,18.41,GB,1610465095
368,Khani,41.9563,42.9566,53.6,87,90,12.66,GE,1610465095
369,Luleå,65.5842,22.1547,8.6,92,90,12.66,SE,1610465095
370,Montepuez,-13.1256,38.9997,75.27,94,100,5.97,MZ,1610465096
371,Fairbanks,64.8378,-147.7164,1.4,85,75,2.39,US,1610465096
372,San Cristobal,7.7669,-72.225,78.8,83,40,9.22,VE,1610465096
373,Buckeye,33.3703,-112.5838,46.99,25,0,1.99,US,1610464855
374,Maiduguri,11.8464,13.1603,91.44,11,3,10.87,NG,1610465096
375,Nizhniy Kuranakh,58.8353,125.4869,-25.55,84,99,0.67,RU,1610465096
376,Goundam,16.4145,-3.6708,92.68,10,30,10.51,ML,1610465097
377,Buala,-8.145,159.5921,77.94,86,100,4.72,SB,1610465097
378,Laas,46.6166,10.7002,30.2,80,90,3.44,IT,1610465097
379,Yulara,-25.2406,130.9889,87.8,18,4,5.75,AU,1610465097
380,Saldanha,-33.0117,17.9442,77.0,50,37,9.22,ZA,1610465097
381,Yumen,40.2833,97.2,21.61,67,100,29.04,CN,1610465097
382,Jiamusi,46.8333,130.35,1.06,93,100,5.19,CN,1610465098
383,Mezen',65.8522,44.24,-11.33,85,14,2.44,RU,1610465098
384,Māndal,25.45,74.5667,59.99,30,0,4.5,IN,1610465057
385,Sistranda,63.7256,8.834,26.6,93,90,13.8,NO,1610465098
386,Hayesville,44.986,-122.9829,54.0,87,90,25.32,US,1610465098
387,Huanren,41.2647,125.3667,16.77,95,96,4.63,CN,1610465099
388,Sinnamary,5.3833,-52.95,80.26,82,33,12.66,GF,1610465099
389,Vanavara,60.34,102.2797,-28.41,85,100,3.94,RU,1610465099
390,Grants,35.1473,-107.8514,8.6,72,1,4.61,US,1610465099
391,Kolondiéba,11.0882,-6.8926,98.42,9,79,7.02,ML,1610465099
392,Shache,38.4167,77.2406,23.86,63,0,5.01,CN,1610465099
393,Goderich,43.7501,-81.7165,30.2,93,100,5.75,CA,1610465099
394,Naantali,60.4674,22.0243,32.0,100,90,13.8,FI,1610465100
395,Ust-Tsilma,65.441,52.1498,-14.12,82,66,1.12,RU,1610465100
396,Roebourne,-20.7833,117.1333,88.77,48,0,14.56,AU,1610465100
397,Cadillac,44.2519,-85.4012,33.01,93,90,5.75,US,1610465100
398,Killybegs,54.6333,-8.45,41.0,93,90,6.91,IE,1610465100
399,San Nicolás Guadalupe,19.6125,-100.0333,42.8,87,75,4.21,MX,1610465100
400,Olafsvik,64.8945,-23.7142,35.1,82,83,15.37,IS,1610465102
401,Paro,27.4305,89.4133,41.41,68,86,0.22,BT,1610465102
402,Tommot,58.9564,126.2925,-25.94,82,100,0.29,RU,1610465102
403,Ténenkou,14.4572,-4.9169,96.73,9,100,11.39,ML,1610465102
404,Tocopilla,-22.092,-70.1979,72.55,56,42,8.61,CL,1610465102
405,Ecuandureo,20.1667,-102.1833,56.68,46,18,1.59,MX,1610465103
406,Tautira,-17.7333,-149.15,75.2,83,75,2.3,PF,1610465103
407,Soyo,-6.1349,12.3689,86.0,66,20,8.05,AO,1610465103
408,Ingham,42.6,-84.3833,28.99,86,90,8.05,US,1610465103
409,Luganville,-15.5333,167.1667,79.47,77,98,2.73,VU,1610465103
410,Adzopé,6.1069,-3.8619,89.69,53,50,1.32,CI,1610465103
411,Pisco,-13.7,-76.2167,73.4,73,0,6.91,PE,1610465104
412,College,64.8569,-147.8028,1.4,78,75,2.68,US,1610465104
413,Torbat-e Jām,35.244,60.6225,40.84,56,0,2.71,IR,1610465104
414,Vila Velha,-20.3297,-40.2925,89.01,62,20,12.66,BR,1610465104
415,Vestmannaeyjar,63.4427,-20.2734,37.4,87,75,35.68,IS,1610465104
416,Uruçuí,-7.2294,-44.5561,91.58,50,1,2.91,BR,1610465104
417,Mahabalipuram,12.6264,80.1722,80.6,83,40,5.75,IN,1610465105
418,Lata,40.1629,-8.3327,55.99,56,0,3.0,PT,1610465105
419,Gerāsh,27.6652,54.1371,57.2,26,0,0.81,IR,1610465105
420,Grand-Lahou,5.1367,-5.0242,84.25,71,7,10.33,CI,1610465105
421,Lodwar,3.1191,35.5973,94.42,23,0,14.88,KE,1610465105
422,Biak,-0.9131,122.8766,78.4,81,51,0.45,ID,1610465105
423,Souillac,-20.5167,57.5167,80.6,89,40,17.27,MU,1610465106
424,Cap Malheureux,-19.9842,57.6142,80.01,85,80,5.99,MU,1610465106
425,Nioaque,-21.1353,-55.83,96.04,37,37,6.31,BR,1610465106
426,Upata,8.0086,-62.3989,82.0,73,97,1.99,VE,1610465106
427,Lavrentiya,65.5833,-171.0,-11.0,85,58,9.24,RU,1610465107
428,Shimoda,34.6667,138.95,43.9,71,1,15.73,JP,1610465107
429,Salalah,17.0151,54.0924,78.8,14,0,14.97,OM,1610465107
430,Chittaurgarh,24.8833,74.6333,59.41,31,0,5.06,IN,1610465107
431,Yūbari,43.0378,141.9578,33.8,100,75,17.27,JP,1610465107
432,Wajid,3.8093,43.2471,89.62,21,63,14.14,SO,1610465107
433,Popondetta,-8.7537,148.2534,75.79,92,100,2.84,PG,1610465108
434,Saint George,37.1041,-113.5841,24.8,50,1,4.61,US,1610465108
435,Minot,48.2325,-101.2963,37.4,60,1,16.11,US,1610465108
436,Burnie,-41.0667,145.9167,62.01,85,68,8.01,AU,1610465108
437,Swellendam,-34.0226,20.4417,69.8,83,83,16.11,ZA,1610465108
438,Sidi Ali,36.0998,0.4206,52.03,73,28,8.9,DZ,1610465108
439,Labuhan,-6.8844,112.2051,79.81,83,100,10.16,ID,1610465108
440,Bayanday,53.0661,105.5139,-23.22,84,83,3.74,RU,1610465109
441,Mirny,62.5353,113.9611,-34.73,83,87,4.7,RU,1610465109
442,Kardailovo,51.5386,53.9042,-5.69,90,100,3.76,RU,1610465109
443,Phibun Mangsahan,15.2447,105.2291,57.2,62,0,14.97,TH,1610465109
444,Roald,62.5833,6.1333,33.8,93,75,23.02,NO,1610465109
445,Arlit,18.7369,7.3853,91.67,10,0,6.17,NE,1610465109
446,Port Hardy,50.6996,-127.4199,44.6,87,40,7.58,CA,1610465110
447,Qasigiannguit,68.8193,-51.1922,19.4,86,75,2.3,GL,1610465110
448,Pierre,44.3683,-100.351,30.0,100,46,11.99,US,1610465110
449,Chekhov,55.1431,37.4711,15.8,85,40,6.71,RU,1610465110
450,Santa Marta,11.2408,-74.199,84.0,62,100,17.0,CO,1610465111
451,Shitkino,56.3703,98.3543,-13.14,88,100,3.38,RU,1610465112
452,Omsukchan,62.5333,155.8,-17.64,87,97,1.74,RU,1610465112
453,Lorengau,-2.0226,147.2712,81.99,81,98,9.28,PG,1610465112
454,Galveston,29.3669,-94.9669,44.6,70,75,5.75,US,1610465112
455,San Policarpo,12.1791,125.5072,79.25,83,100,19.24,PH,1610465113
456,Hinton,53.4001,-117.5857,26.6,74,100,3.44,CA,1610465113
457,Cotonou,6.3654,2.4183,87.8,70,20,12.66,BJ,1610464840
458,Hamamatsu,34.7,137.7333,39.0,84,0,8.01,JP,1610465114
459,Sengiley,53.9622,48.7944,-16.6,76,91,1.59,RU,1610465114
460,Lucea,18.451,-78.1736,84.0,74,40,9.22,JM,1610465114
461,Whyalla,-33.0333,137.5833,66.2,77,0,11.5,AU,1610465114
462,Qandala,11.472,49.8728,73.26,61,9,11.45,SO,1610465114
463,Skibbereen,51.55,-9.2667,51.8,87,75,9.22,IE,1610465115
464,Douentza,14.9951,-2.9517,94.78,9,29,11.48,ML,1610465115
465,Margate,51.3813,1.3862,42.01,80,62,1.99,GB,1610465115
466,Coyhaique,-45.5752,-72.0662,55.4,54,75,5.75,CL,1610465115
467,Olinda,-8.0089,-34.8553,84.2,58,40,8.05,BR,1610465115
468,Kahului,20.8947,-156.47,70.0,82,40,4.61,US,1610465115
469,Puerto Madryn,-42.7692,-65.0385,67.26,26,0,20.67,AR,1610465116
470,Rāiganj,25.6167,88.1167,60.85,41,0,6.76,IN,1610465116
471,Meridian,43.6121,-116.3915,34.0,80,90,8.05,US,1610465116
472,San Fernando,15.0286,120.6898,73.4,73,75,2.3,PH,1610465117
473,Gore,-46.1028,168.9436,55.99,86,16,1.01,NZ,1610465117
474,Northam,51.0333,-4.2167,50.0,100,100,8.01,GB,1610465117
475,Chengde,40.9725,117.9361,19.11,77,96,2.08,CN,1610465117
476,Aksarka,66.5606,67.7975,-8.01,88,0,6.31,RU,1610465118
477,Salta,-24.7859,-65.4117,62.6,94,90,5.75,AR,1610465118
478,Bluefields,12.0137,-83.7635,82.4,83,40,4.61,NI,1610465118
479,Nkhata Bay,-11.6066,34.2907,77.38,79,54,3.74,MW,1610465119
480,Cabo San Lucas,22.8909,-109.9124,57.2,71,40,8.05,MX,1610464990
481,Fevik,58.3794,8.6766,35.6,64,0,5.75,NO,1610465119
482,San Quintín,30.4833,-115.95,54.23,47,0,0.58,MX,1610465119
483,Talcahuano,-36.7167,-73.1167,64.4,39,0,11.5,CL,1610465119
484,Mayo,38.8876,-76.5119,39.99,70,1,4.61,US,1610465120
485,Santa María del Oro,25.9333,-105.3667,34.84,82,0,4.97,MX,1610465120
486,Half Moon Bay,37.4636,-122.4286,51.8,93,75,1.81,US,1610465120
487,Tarazá,7.5836,-75.4007,85.1,64,48,2.01,CO,1610465120
488,Ligayan,4.6533,119.4706,79.93,86,80,20.56,PH,1610465120
489,Malanje,-9.5402,16.341,77.04,61,50,7.52,AO,1610465121
490,Tucker,33.8545,-84.2171,39.99,93,90,8.05,US,1610465121
491,Bella Vista,36.4295,-94.2316,35.01,75,1,12.66,US,1610465121
492,Jaciara,-15.9653,-54.9683,93.13,44,7,3.94,BR,1610465121
493,Khorramabad,33.4878,48.3558,53.6,22,0,4.61,IR,1610465122
494,Ketchikan,55.3422,-131.6461,39.2,93,90,20.71,US,1610465122
495,Inhambane,-23.865,35.3833,89.01,70,20,9.22,MZ,1610465122
496,Mórrope,-6.5417,-80.0111,78.8,57,0,10.36,PE,1610465123
497,Guarapari,-20.6667,-40.4975,89.01,62,20,12.66,BR,1610465123
498,Arraial do Cabo,-22.9661,-42.0278,87.8,55,0,20.71,BR,1610465123
499,Alice Springs,-23.7,133.8833,77.0,38,0,8.46,AU,1610465097
500,Aprelevka,55.5519,37.0801,15.8,86,75,6.71,RU,1610465124
501,Matara,5.9485,80.5353,78.6,86,99,8.75,LK,1610465125
502,Cayenne,4.9333,-52.3333,77.0,100,75,9.22,GF,1610465125
503,Egvekinot,66.3167,-179.1667,-11.76,86,100,14.92,RU,1610465126
504,Hirara,24.8,125.2833,58.71,62,0,17.96,JP,1610465126
505,Padang,-0.9492,100.3543,77.94,77,100,4.61,ID,1610465126
506,Mīnāb,27.1467,57.0801,64.4,29,0,4.61,IR,1610465126
507,Bodmin,50.4715,-4.7243,51.01,100,90,21.85,GB,1610465126
508,Taloqan,36.7361,69.5345,39.45,59,0,1.57,AF,1610465126
509,Bacolod City,10.6667,122.95,75.4,83,100,17.45,PH,1610465127
510,Quatre Cocos,-20.2078,57.7625,80.6,89,40,17.27,MU,1610465127
511,Uíge,-7.6087,15.0613,86.0,48,20,11.5,AO,1610465127
512,Mareeba,-17.0,145.4333,78.01,94,90,2.3,AU,1610465127
513,Stornoway,58.2093,-6.3865,39.99,81,40,3.44,GB,1610465127
514,Quesnel,52.9999,-122.5029,39.2,81,90,9.22,CA,1610465127
515,Techiman,7.5862,-1.9414,90.0,39,17,3.49,GH,1610465128
516,Breytovo,58.2993,37.8617,-14.12,90,80,6.35,RU,1610465128
517,Tabou,4.423,-7.3528,81.88,79,32,9.71,CI,1610465128
518,Ballyshannon,54.5,-8.1833,39.2,93,90,6.91,IE,1610465128
519,Jaguarão,-32.5661,-53.3758,73.78,65,92,13.11,BR,1610465128
520,Rio Grande,-32.035,-52.0986,75.2,73,90,14.97,BR,1610464886
521,Beloha,-25.1667,45.05,85.01,58,5,14.99,MG,1610465129
522,Havelock,34.8791,-76.9013,45.0,100,90,11.5,US,1610464968
523,Davideşti,45.0167,25.0333,34.83,98,100,5.06,RO,1610465129
524,Muttupet,10.4,79.4833,76.84,91,100,15.9,IN,1610465129
525,Vondrozo,-22.8167,47.2833,76.17,87,6,6.58,MG,1610465130
526,Bucerías,20.75,-105.3333,57.2,88,40,3.44,MX,1610465130
527,Taoudenni,22.6783,-3.9836,74.62,18,87,15.99,ML,1610465130
528,Ouadda,8.0777,22.4007,93.72,11,98,2.64,CF,1610465130
529,Córdoba,-31.4135,-64.1811,78.01,40,0,4.61,AR,1610464887
530,Lakes Entrance,-37.8811,147.981,63.0,1,2,6.6,AU,1610465130
531,Poum,-20.2333,164.0167,81.61,83,24,14.92,NC,1610465131
532,Impfondo,1.6381,18.0667,89.69,42,88,0.47,CG,1610465131
533,Mackenzie,55.2999,-123.1698,26.6,100,90,6.91,CA,1610465131
534,Kanniyākumāri,8.0833,77.5667,76.05,89,100,13.82,IN,1610465131
535,Samarai,-10.6167,150.6667,83.08,81,100,11.9,PG,1610465131
536,Ilorin,8.5,4.55,95.0,24,40,5.75,NG,1610464944
537,São Miguel do Tapuio,-5.5036,-41.3233,90.55,50,98,2.13,BR,1610465131
538,Marsh Harbour,26.5412,-77.0636,74.7,79,100,5.39,BS,1610465132
539,Arrondissement de Mende,44.6667,3.5,29.44,99,100,14.38,FR,1610465132
540,Swan Hill,-35.3378,143.5544,67.71,45,0,8.23,AU,1610465132
541,Bataiporã,-22.2953,-53.2711,92.73,56,33,2.35,BR,1610465133
542,Show Low,34.2542,-110.0298,19.0,79,1,5.06,US,1610465133
543,Jutaí,-5.1833,-68.9,78.04,84,95,1.45,BR,1610465133
544,Atar,20.5169,-13.0499,76.64,18,100,10.36,MR,1610465133
545,Saint Anthony,45.0205,-93.218,21.99,93,90,4.61,US,1610465134
546,Calatayud,41.3535,-1.6432,50.0,46,1,4.61,ES,1610465134
547,Orodara,10.9492,-4.9342,95.0,17,0,10.36,BF,1610465134
548,Gunjur,13.2019,-16.7339,82.4,30,95,8.05,GM,1610465134
549,Buşayrā,30.7376,35.6078,58.57,40,8,5.21,JO,1610465135
550,Hondomachi-hondo,32.45,130.2,39.0,86,43,8.01,JP,1610465136
551,Jalu,29.0331,21.5482,79.84,17,100,8.52,LY,1610465136
552,Charlestown,-32.95,151.6667,71.01,89,24,2.64,AU,1610465136
553,Raudeberg,61.9875,5.1352,36.0,87,100,33.2,NO,1610465136
554,Portree,57.4129,-6.1942,37.0,76,25,3.83,GB,1610465137
555,Seminole,28.7086,-81.2081,64.0,82,90,11.5,US,1610465137
556,Beyneu,45.3167,55.2,25.92,94,64,5.01,KZ,1610465137
557,Sobrance,48.7445,22.1814,33.8,80,75,4.47,SK,1610465138
558,Sungai Raya,0.7,108.9,77.36,89,100,10.63,ID,1610465138
559,Katobu,-4.9408,122.5276,77.04,93,55,1.99,ID,1610465138
560,Victor Harbor,-35.5667,138.6167,63.0,94,75,1.99,AU,1610465138
561,Alcaudete,37.5909,-4.0824,54.0,51,0,4.07,ES,1610465139
562,Puerto Barrios,15.7167,-88.6,75.2,88,75,4.61,GT,1610465139
563,Yafran,32.0633,12.5286,50.09,63,54,17.25,LY,1610465139
564,Codrington,-38.2667,141.9667,50.41,92,19,7.16,AU,1610465139
565,Emerald,-23.5333,148.1667,75.2,78,42,9.22,AU,1610465139
566,Sitārganj,28.9333,79.7,52.38,55,0,2.13,IN,1610465139
567,Kumul,42.8,93.45,16.66,81,0,2.04,CN,1610464941
568,Deputatsky,69.3,139.9,-38.16,77,0,0.54,RU,1610465140
569,Zeya,53.75,127.2667,-12.69,87,100,3.56,RU,1610465140
570,Sompeta,18.9333,84.6,72.99,77,0,0.58,IN,1610465140
571,Jimaní,18.4917,-71.8502,84.2,54,20,11.5,DO,1610465140
572,Kargopol',61.5071,38.9456,-19.77,87,0,4.29,RU,1610465140
573,Abu Samrah,35.3029,37.1841,62.11,45,0,3.85,SY,1610465140
574,Nacala,-14.5428,40.6728,79.18,82,98,10.85,MZ,1610465141
575,Ciudad Valles,21.9833,-99.0167,50.63,50,70,3.31,MX,1610465141
576,Ilebo,-4.3167,20.5833,86.95,55,68,2.28,CD,1610465141
577,Anchorage,61.2181,-149.9003,28.0,86,90,7.81,US,1610464891
578,Humaitá,-7.5061,-63.0208,91.42,51,69,3.58,BR,1610465142
579,Carauari,-4.8828,-66.8958,85.19,68,33,3.78,BR,1610465142
580,Dohad,22.8333,74.2667,70.43,33,0,7.54,IN,1610465142
581,Fujin,47.26,132.0322,2.25,93,100,5.66,CN,1610465143
582,Acajutla,13.5928,-89.8275,78.8,50,0,5.75,SV,1610465143
583,Boa Vista,2.8197,-60.6733,84.2,58,40,16.11,BR,1610465046
584,Hisor,38.525,68.5512,42.8,33,2,4.47,TJ,1610465143
585,Tirumullaivāsal,11.2333,79.8333,77.85,86,100,16.71,IN,1610465143
586,Kashgar,39.4547,75.9797,19.4,63,2,4.47,CN,1610465143
587,Tall Kayf,37.0833,41.0667,59.0,33,40,6.91,TR,1610465143
588,Opuwo,-18.0607,13.84,81.97,27,83,10.58,NA,1610465144
589,Sisimiut,66.9395,-53.6735,15.1,90,77,4.79,GL,1610465144
590,Irará,-12.05,-38.7667,84.33,60,66,8.86,BR,1610465144
591,Batamshinskiy,50.5594,58.2747,-9.4,70,0,4.47,KZ,1610465144
592,Natchitoches,31.7668,-93.1335,35.6,93,1,2.13,US,1610465145
593,Chenghai,23.4632,116.768,46.4,61,0,4.47,CN,1610465145
594,Whittlesea,-32.1759,26.8244,79.45,54,49,13.04,ZA,1610465145
